page,element,definition
4,8/15/25,"8/15/25 | Initial release of third amendment reports received from June 16th through July 15,"
5,Field #,Name | Description
5,1,Report ID | A unique report number generated by NHTSA. This unique number is used to track initial and updated reports for a given incident.
5,2,"Report Version | The Incident Report version. When a Reporting Entity updates a previously filed report, a new version is created and sequentially numbered by the portal."
5,3,Reporting Entity | The full name of the Reporting Entity filing the report. The full name of the Reporting Entity should match the name of the company as it is identified in the SGO.
5,4,"Report Type | The Incident Report type, as selected by the Reporting Entity. Drop-down values: • 5-Day • Monthly • Update"
5,5,"Report Month | The reporting month, as entered by the Reporting Entity. The month should be recorded as its two-digit numeric value (i.e., 01 to 12). For monthly reports filed under Request Nos. 2 of the SGO, the report month is the month when the Reporting Entity filed a report of an incident."
5,6,"Report Year | The reporting year, as entered by the Reporting Entity. The year should be recorded as its 4 digits numeric value (e.g., 2025). For monthly reports filed under Request Nos. 2 of the SGO, the report year is the year of the month when the Reporting Entity filed a report of an incident."
5,7,Report Submission Date | The month and year in which the incident report was submitted by the Reporting Entity [MON-YYYY format]. This is captured by the NHTSA portal at submission time and is not entered by the Reporting Entity.
6,Field #,Name | Description
6,8,"VIN | The Vehicle Identification Number (VIN) for the subject vehicle, as reported by the Reporting Entity. The entry includes only the first 11 characters of the VIN and excludes the last 6 characters of the VIN. This exclusion is based on NHTSA’s conclusion that the last 6 characters of a VIN is information that may lead to the identification of individuals involved in a crash. This field uses NHTSA Product Information Catalog and Vehicle Listing (vPIC) to automatically display Make, Model, and Model Year. Below are the following possible scenarios based on the entered VIN: • If VIN is entered and decoded correctly: The portal will populate Field 11 (Make), Field 13 (Model), and Field 15 (Model Year). o The portal will grey out and disable Field 10 (Serial Number). o • If VIN is not decoded correctly: The portal will enable Field 11 (Make), Field 13 (Model), and Field 15 (Model Year). o The Reporting Entity must fill out Field 11 (Make), Field 13 (Model), and Field 15 (Model Year) or select o UNK for any fields for which they do not have the data element. Field 10 (Serial Number) will already be enabled by default. o • If VIN or serial number are not available, the Reporting Entity should type “unknown” in VIN as instructed in user guide and acknowledge the portal pop-up message at form validation."
6,9,"VIN Decoded | The entry reflects whether the Reporting Entity VIN information as entered could be decoded. An un-decoded VIN could be an erroneous VIN entry or a vPIC decoding issue (e.g., connection timeout error, etc.). This field will include a “Y” if the Reporting Entity VIN information could not be decoded and will be blank if the Reporting Entity VIN information, as entered, is correctly decoded."
6,10,"Serial Number | The serial number, if any, for the subject vehicle, as entered by the Reporting Entity. A blank entry typically means that the Reporting Entity entered a valid VIN in response to Field 8 rather than a serial number in response to Field 10. If VIN or serial number are not available, Reporting Entity should type “unknown” in VIN as instructed in user guide and acknowledge the portal pop-up message at form validation. A blank entry may also mean that the Reporting Entity reported that the serial number was unavailable."
7,Field #,Name | Description
7,11,"Make | The make of the subject vehicle as branded, as reported by vPIC or the Reporting Entity."
7,12,Make - Unknown | The entry reflects whether the Reporting Entity reported a valid VIN that can be decoded through vPIC. A blank entry typically means that the Reporting Entity entered a valid VIN or manually entered the data element. This field will include a “Y” if the entity marked the vehicle make as unknown.
7,13,"Model | The model of the subject vehicle as branded, as reported by vPIC or the Reporting Entity."
7,14,Model - Unknown | The entry reflects whether the Reporting Entity reported a valid VIN that can be decoded through vPIC. A blank entry typically means that the Reporting Entity entered a valid VIN or manually entered the data element. This field will include a “Y” if the entity marked the vehicle model as unknown.
7,15,"Model Year | The model year of the subject vehicle, as reported by the vPIC or the Reporting Entity."
7,16,Model Year - Unknown | The entry reflects whether the Reporting Entity reported a valid VIN that can be decoded through vPIC. A blank entry typically means that the Reporting Entity entered a valid VIN or manually entered the data element. This field will include a “Y” if the entity marked the vehicle model year as unknown.
7,17,Same Vehicle ID | A unique identifier generated by NHTSA for the subject vehicle. This field was created because NHTSA is not making public the entire VIN for a subject vehicle and creates a unique identifier that permits data users to determine whether a subject vehicle was involved in other reported incidents
8,Field #,Name | Description
8,18,"Driver / Operator Type | The Reporting Entity’s report of the individual responsible for the operation, fallback operation, or any part of the dynamic driving task (DDT) for the subject vehicle at the time of the incident. Drop-down values: • Consumer: Any individual who is operating a commercially available Level 2 ADAS / ADS and is not engaged in any activity on behalf of a motor vehicle or motor vehicle equipment manufacturer at the time of the incident. • In-Vehicle (Commercial / Test): An individual, other than a consumer, located within the subject vehicle. • Remote (Commercial / Test): An individual, other than a consumer, not located within the subject vehicle who is capable of providing remote driving, fallback, and/or assistance. • In-Vehicle and Remote (Commercial / Test): A combination of both In-Vehicle (Commercial / Test) and Remote (Commercial / Test) individuals. • None: No individual is responsible for any part of the DDT at the time of the incident. • Other, see Narrative • Unknown"
8,19,"Automation Feature Version | The Reporting Entity’s report of the system or automation feature version of the ADAS or ADS in use on the subject vehicle at the time of the incident. If the entry states “[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION],” this indicates that the Reporting Entity has made and submitted a claim that this information is confidential business information that is protected from public disclosure. This entry does not indicate that NHTSA has adjudicated any such claim."
8,20,Automation Feature Version CBI | The entry reflects whether the Reporting Entity made a claim that the information it submitted in response to Automation Feature Version constitutes CBI that is protected from disclosure. A “Y” in Field 20 indicates that the Reporting Entity claimed that the information it submitted in response to Field 19 constitutes CBI. A blank entry in Field 20 indicates that the Reporting Entity made no such claim.
8,21,"Automation System Engaged? | The Reporting Entity’s report of whether the subject incident vehicle was in partial automation (ADAS), ADS, or unknown at the time of the crash. Drop-down values: • ADAS • ADS • Unknown, see Narrative"
9,Field #,Name | Description
9,22,"Engagement Status | The Reporting Entity’s report of the highest-level driving automation system engagement status at any time during the period 30 seconds immediately prior to the commencement of the crash through the conclusion of the crash. Drop-down values: • Verified Engaged • Alleged Engaged • Verified Not Engaged • Unknown, see Narrative"
