Investigating Agency,count
,2348
San Francisco Police Department,246
Phoenix Police Department,85
Tempe Police Department,52
Los Angeles Police Department,43
Austin Police Department,31
Scottsdale Police Department,20
Miami Police Department,17
California Highway Patrol,15
Houston Police Department,12
Atlanta Police Department,12
SFPD,11
Chandler Police Department,8
Dallas Police Department,7
Arizona Department of Public Safety,7
Inglewood Police Department,6
Las Vegas Metro PD,6
Miami Beach PD,6
Foster Police Department,5
San Francisco Police Dept.,5
Las Vegas Metro Police Department,4
Orlando Police Department,4
Waxahachie Police Department,4
AZ Highway Patrol Division,4
NM STATE POLICE,4
Washington DC Metropolitan Police Department,4
Metropolitan Police Department,4
Ennis Police Department,4
Coral Gables Police Department,4
na,3
Daly City Police Department,3
Santa Monica Police Department,3
Beverly Hills Police Department,3
Brisbane Police Department,3
South San Francisco Police Department,3
Gwinnett County Police Department,3
No,3
Culver City Police Department,3
Phoenix PD,3
Mesa Police Department,3
San Francisco PD,3
Tempe PD,3
Gahanna Police Department,3
AZ Dept. of Public Safety,3
City of Golden Police,3
Metropolitan Nashville Police Department,2
none,2
LV Metro Police,2
Beverly Hills Police,2
West Hollywood Sheriff's Department,2
Jacksonville Sheriffs Office,2
Las Vegas Metropolitan Police Department,2
CHANDLER POLICE DEPT,2
Nevada Highway Patrol,2
ST. CLAIR COUNTY SHERIFF'S OFFICE,2
Seattle Police,2
San Francisco  Police Department,2
Austin Community College Police Department,2
Texas Department of Public Safety,2
San Fransisco Police Department,2
Miami Beach Police,2
CA Highway Patrol,2
San Francisco Police Depertment,2
Saint Claire Police,2
Phoenix Fire Department,1
City of Santa Monica PD,1
San Jose Police Department,1
Austin Fire Department,1
Philadelphia Police Department,1
San Francisco Fire Department,1
Taraval Police Department,1
Orange County Sheriff's Office,1
Atlanta Police Dept. Zone 5,1
Texas University Police Department,1
California Highway Patrol West Los Angeles Area,1
Stanford Department of Public Safety,1
East District Arlington Police Department,1
West Hollywood Sheriff Department,1
Palo Alto Police Department,1
Atlanta Fire Department Fire Station 19,1
Culver City Police,1
-,1
Metropolitan Police Department of the District of Columbia,1
Jacksonville Sheriffâs Office,1
Mountain View Police Department,1
San Mateo Sheriffs Department,1
Burlingame Police Department,1
South San Francisco Police,1
Redwood City Police Department,1
University of Texas Police Department,1
Las Vegas Metro Police,1
"NHTSA, DMV",1
Pennsylvania State Police,1
"Beep, Inc.",1
Eden Prairie Police Dept,1
LA County Sheriff's Department,1
LASD,1
Santa Clara Police Department,1
Las Vegas Police Department,1
SFPD Northern District Police Station,1
University of San Francisco Police,1
Scottsdale Police Dept,1
JACKSONVILLE SHERIFF'S OFFICE,1
Department of Public Safety,1
City of Orlando Police Department,1
LAPD - Wilshire Division,1
Fremont Police Department,1
Weatherford Police Dept,1
Las Vegas Metropolitan Police,1
AZ Department of Safety: Mountain View Precinct,1
Port Saint Lucie Police Department,1
Rochester Police Department,1
Minnesota State Patrol,1
Rochester PD,1
PA State Police,1
San Francisco Police Dept,1
Traffic Collision Investigation Unit (TCIU),1
National Park Service,1
Yellowstone Park ranger,1
U.S. National Park Service,1
